
2024/03/15 (08:43:26) | ===> btop++ v.1.3.2
2024/03/15 (08:43:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/15 (10:39:05) | ===> btop++ v.1.3.2
2024/03/15 (10:39:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/15 (15:33:42) | ===> btop++ v.1.3.2
2024/03/15 (15:33:42) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/15 (19:43:06) | ===> btop++ v.1.3.2
2024/03/15 (19:43:06) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/15 (19:46:46) | ===> btop++ v.1.3.2
2024/03/15 (19:46:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/15 (19:49:00) | ===> btop++ v.1.3.2
2024/03/15 (19:49:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/15 (19:58:46) | ===> btop++ v.1.3.2
2024/03/15 (19:58:46) | WARNING: Failed to set locale UTF-8 continuing anyway.
